name,ops
bueno,167952
class-transformer-validator-async,39820
class-transformer-validator-sync,44545
computed-types,928447
decoders,260435
io-ts,1089432
jointz,1073170
json-decoder,844990
marshal,18388653
@mojotech/json-type-validation,1373782
myzod,1181371
purify-ts,466964
rulr,882324
runtypes,895710
simple-runtypes,1735101
superstruct,104314
suretype,18540100
toi,548590
ts-interface-checker,2481113
ts-json-validator,20165705
ts-utils,156939
@typeofweb/schema,723189
valita,2225213
yup,29763
zod,500046
