name,ops
class-transformer-validator-async,32081
class-transformer-validator-sync,37827
funval,872643
io-ts,2645893
json-decoder,839406
marshal,4126685
myzod,1451379
purify-ts,874400
runtypes,863718
toi,489289
ts-utils,152134
yup,14234
zod,58402
