name,ops
class-transformer-validator-async,15250
class-transformer-validator-sync,20135
funval,334934
io-ts,1056953
json-decoder,341213
marshal,1943492
myzod,279153
purify-ts,362936
quartet,12437849
runtypes,301454
toi,177929
ts-json-validator,8355530
ts-utils,65731
zod,10096
