name,ops
class-transformer-validator-async,18644
class-transformer-validator-sync,13939
funval,275086
io-ts,982146
json-decoder,262910
marshal,1221044
myzod,221929
purify-ts,291004
runtypes,267990
toi,166364
ts-utils,29299
zod,7235
