name,ops
bueno,151497
class-transformer-validator-async,32357
class-transformer-validator-sync,38363
computed-types,617134
decoders,188184
io-ts,1015125
jointz,1262540
json-decoder,655322
marshal,9831424
@mojotech/json-type-validation,1103252
myzod,1019676
purify-ts,642924
rulr,663345
runtypes,646457
simple-runtypes,1401325
superstruct,72418
suretype,11323957
toi,392221
ts-interface-checker,1920803
ts-json-validator,11379193
ts-utils,76151
@typeofweb/schema,726632
valita,2191432
yup,23308
zod,388141
