name,ops
class-transformer-validator-async,19819
class-transformer-validator-sync,31110
funval,605912
io-ts,1993066
json-decoder,572927
marshal,2587649
myzod,191118
purify-ts,237761
quartet,9197777
runtypes,241066
toi,158198
ts-json-validator,6493357
ts-utils,38465
zod,7910
