name,ops
bueno,239513
class-transformer-validator-async,48081
class-transformer-validator-sync,57345
computed-types,974103
decoders,271094
io-ts,1327601
jointz,1925803
json-decoder,950294
myzod,1713246
purify-ts,883276
rulr,1029440
runtypes,1060144
simple-runtypes,2354218
superstruct,114667
toi,636326
ts-interface-checker,3343616
ts-utils,192254
@typeofweb/schema,1334838
valita,4453235
yup,36716
zod,8901
@mojotech/json-type-validation,1706276
