name,ops
class-transformer-validator-async,30387
class-transformer-validator-sync,37256
funval,716488
io-ts,2456649
json-decoder,673800
marshal,3361295
myzod,505149
purify-ts,707137
runtypes,698838
toi,383729
ts-utils,91293
zod,47967
