name,ops
class-transformer-validator-async,32798
class-transformer-validator-sync,40350
funval,710055
io-ts,2194474
json-decoder,479098
marshal,4177636
myzod,225160
purify-ts,783901
runtypes,737228
toi,466933
ts-utils,134223
zod,68745
