name,ops
bueno,168502
class-transformer-validator-async,43590
class-transformer-validator-sync,49060
computed-types,799551
decoders,230823
io-ts,1146154
jointz,1617795
json-decoder,824556
marshal,11629521
@mojotech/json-type-validation,1339376
myzod,1385120
purify-ts,814532
rulr,797719
runtypes,967421
simple-runtypes,1832872
superstruct,102349
suretype,13970734
toi,551513
ts-interface-checker,2431295
ts-json-validator,14062590
ts-utils,126367
@typeofweb/schema,788279
valita,3281387
yup,27849
zod,483748
