name,ops
ajv,20026267
bueno,275497
class-transformer-validator-sync,50534
io-ts,1281838
jointz,444264
marshal,19566640
runtypes,1109631
superstruct,140799
suretype,23930510
ts-interface-checker,2600690
ts-json-validator,23609993
@typeofweb/schema,1003508
valita,4040648
yup,31557
zod,460305
