name,ops
class-transformer-validator-async,24591
class-transformer-validator-sync,29636
funval,866020
io-ts,2451375
json-decoder,583079
marshal,5112073
myzod,1642582
purify-ts,941432
runtypes,865452
toi,501334
ts-utils,127040
yup,13852
zod,58001
