name,ops
class-transformer-validator-async,16643
class-transformer-validator-sync,21945
funval,378309
io-ts,1231120
json-decoder,309109
marshal,1804308
myzod,301887
purify-ts,396329
runtypes,331907
toi,205944
ts-utils,56985
zod,9173
