name,ops
class-transformer-validator-async,31921
class-transformer-validator-sync,38216
funval,771200
io-ts,2302870
json-decoder,737308
marshal,3715237
myzod,523954
purify-ts,724817
runtypes,725578
toi,401676
ts-utils,103926
zod,52009
