name,ops
class-transformer-validator-async,27952
class-transformer-validator-sync,35380
funval,717920
io-ts,2377524
json-decoder,695605
marshal,3430801
myzod,1019990
purify-ts,741259
runtypes,665914
toi,405013
ts-utils,118518
zod,48984
